public_essay_id,created_epoch,created_timestamp,public_prompt_id,public_user_id,user_prompt,essay_version_num,is_first_version,is_final_version,language,text,wi_suspecttokens,automarker_cefr_level,humannotator_cefr_level,split,cefr_mapped,word_count,length_category
essay_4d799ec67c6fab37,1582230775,2020-02-20 20:32:55,prompt_179938ed5e90b50a,user_23aea986de7847ee,user_23aea986de7847ee_prompt_179938ed5e90b50a,2,False,True,Japanese,"Thanks to the spread of the internet we can have many choices the way of studying.We need not go to school because we can study subjects to connect to the internet.We can enter the school which is located far from you or abroad. We can make the style of our school of the future autmatic using the internet,but I think the real school of the future doesn't change a lot.Because what we should do in school is not only studying subjects but also getting our social mind.For student what is most important to learn is how we face with the defficult problems.we learn it with your friends and classmate and some time people who you hate.social mind cannot learn where you are alone.So the school of the future will be convenient thanks to the internet but will not change its essence at all.  ",,B1,B1+,train,B1,143,medium
essay_66b73a1580e1904b,1601076415,2020-09-26 00:26:55,prompt_e4c497f7613dcf8a,user_3da0268a93d2c338,user_3da0268a93d2c338_prompt_e4c497f7613dcf8a,3,False,True,Arabic,"Hello teacher, Hello everybody. Today I will tell you about the new school year. First, I hope in the new school year to meet all my classmates after came back from the holiday, also, I am missing all my friends. Well, I like English class, Math, and history, but I don't like physics, I think it more difficult. Second, I want to improve in my language, English off special , I feel  still weak to my language. So, I want also improve to music class because I can't play in the piano. also is didn't forget is Math I think I need also improve it. Finally, I will do to all my power to achieve my goals, I will too much study every day for four hours. also, I will go to study with my smart friend, also I will to attend private class with new teachers because they will help me to achieve my goals. Thank you so much, my teacher. See you soon. Bye. ","699,703",B1,B1,train,B1,166,medium
essay_3d32e6c47539151c,1610880531,2021-01-17 10:48:51,prompt_58852905890136d4,user_89844f42535abd6a,user_89844f42535abd6a_prompt_58852905890136d4,4,False,True,Arabic,"Travel in the future The travel is moving from the place A to the place B with public travelling vehicles, train, bus, airplane, sheep, private cars etc. I think, there will be big changes on the duration of the journeies. It will be so shorter than current journies. It will be also more comfortable. The capacitance of the vehicle will be bigger. The available joy tools will be more. The time of departure and the time of arrival will be more punctual. The appearance of the booking applications and webpages well be programmed more amazingly. The free internet entrance well be free on every travelling way. The noise, which is produced by the travelling engines, will be softer.  of the The pad affects of those engines will become milder. That means, the co2 and the pad gases will be produces less by the engines. The engine might become electrical and won't be able to produce any gases.  It will be better for the people, whol like travelling and at the same time they won't affect the nature badly. Finally, the prognoses might be totally different from the reality. But one is allowed to imagine new possible innovations.  Thank you.","556,564",B2+,B1+,train,B1,199,medium
essay_895efe69d0409d80,1653437731,2022-05-25 01:15:31,prompt_82f61f70f00cce70,user_93cec5ca9bdab1db,user_93cec5ca9bdab1db_prompt_82f61f70f00cce70,2,False,True,Spanish,"Should computers and tablets completely replace books in schools and universities? I don’t think so. Of course, tablets and computers are very useful. Think about it, all your notes and your information are in the cloud or on your computer. All our data one way or another is partially or completely in the computer’s memory. But they will completely replace books made paper I doubt it. Because the books you can read any time, any place include without electrical energy. You can make your notes in your books, so simple, just write. The advantage no one can see your notes and your notebook does not need upgrade constantly. Anyway, in my opinion, the best of reading books is that they don’t hurt your eyes. If you read the screen after a few hours your eyes will hurt. Never do my eyes hurt when I read a book, obviously with adequate light.",,B1+,B1+,train,B1,151,medium
essay_c74581f6608cf12a,1604996789,2020-11-10 08:26:29,prompt_719435a48902a4b5,user_99ea8e2674631ed6,user_99ea8e2674631ed6_prompt_719435a48902a4b5,3,False,True,Chinese,"Dear Mrs. Böttcher, Now I'm studying English. And it is really amazing to improve my spoken and writing English by doing various exercises. Besides English, I still want to learn French. Since I'm very interested in amazing French music and art, learning French will help me better understand these things.  Furthermore, I want to start a French course as soon as possible. Can you help me to register for the course?  Kind regards, Anna ",,B2,B1,train,B1,74,short
essay_3a12d568630f269c,1593167843,2020-06-26 11:37:23,prompt_305b51299790d8a8,user_8c9732dcd0089610,user_8c9732dcd0089610_prompt_305b51299790d8a8,2,False,True,French,"I believe that I have two favourite seasons of the year. In one hand, it is Spring because the weather is cold and hot at the same time so you can wear light clothes and cold clothes. In Spring, you don 't sweat because it 's not very hot and it is windy. Moreover, I was born  in March and in this month, the season is Winter and Spring, so I celebrate my birthday in these two seasons. In the other hand, I like Winter too because I celebrate Christmas with my family. In Winter, I am fond of snowing because I find it fantastic, amazing and unbelievable. I also love Winter because because it 's the birthday of my best friend Cruz and I celebrate it with him. I do not really like Summer because the weather is too hot for me.","57,59,320,326,414,420",B1+,B1,train,B1,143,medium
essay_b87e77da33ff7714,1663150242,2022-09-14 11:10:42,prompt_49f744b86a7de069,user_1133dd07aeb7dbec,user_1133dd07aeb7dbec_prompt_49f744b86a7de069,3,False,True,Burmese,"Dear Kyaw, I really appreciate your looking after my home during my family holiday trip. I want to tell you something that is my door key is under the chair which is next to front of window. Could you take care of ma cat, please? Don't over do it, just feed two times per day. If you have any problem please send email to me. ",,A2+,B1,train,B1,65,short
essay_b8231a9954f64faa,1592995066,2020-06-24 11:37:46,prompt_046678dfe42e3068,user_de6de921b320d545,user_de6de921b320d545_prompt_046678dfe42e3068,2,False,True,Spanish,"I`m studying English all my life. I didn' have any title to show this so, last year, I decided to study English through the UNED University. Our teacher recommend us some webs to improve our English level. This year I'm studying Beginner level. I'm using a web called 'Write & improve' I think it helps me a lot and I agree with I improve my English level. I use it to write some text and I like it because it can permiss me to know which mistakes I have done. I recommend it because it is very useful for everybody. It has got different levels and it is very easy to use. There isn't anything to say I don't like it. Maybe I don't like that I have finished Beginner level and now I'm trying to practise Intermediate level to follow improving my English level.",,B1,B1,train,B1,145,medium
essay_fe483933c89eca58,1596221437,2020-07-31 19:50:37,prompt_79d7b6720d30aa96,user_906f8268414d7254,user_906f8268414d7254_prompt_79d7b6720d30aa96,2,False,True,Hindi,"Hi Matt, It's been long since we had watched any movie together.I know you are a hard working man and engaged in your work. So I was thinking that maybe  I suggest you some good movies so that you can watch movies in your mean time. So I'll go first with my favourite movie that is Inception.It is of Sci-Fi genre.This movie is all about how complex is our mind and how we can use it for retriving someone's memory without their concern.I think you will like it. ","11,13,14,18",B1,B1,train,B1,88,short
essay_00f6b9779fed264b,1591183907,2020-06-03 12:31:47,prompt_49f744b86a7de069,user_f772a3bdcc4381cf,user_f772a3bdcc4381cf_prompt_49f744b86a7de069,2,False,True,Dutch,"dear neighbour, You can find the keys under the doormat. could you put them back after? When watering the plants don't forget the ones upstairs. check in on my goldfish, if there's something wrong call me. you can leave the mail.","93,101",A2+,B1,train,B1,41,short
essay_64780ce22d33e3a5,1621047464,2021-05-15 03:57:44,prompt_e404501e9bbbc094,user_51f1eb9c60a4f386,user_51f1eb9c60a4f386_prompt_e404501e9bbbc094,3,False,True,Japanese,"From my points of view, it is helpful for me to learn Write and Improve for my English skills. As to the Write and Improve service, I recommend you should access the web site as soon as possible. In the web site, you can find that there are courses according to your learning levels, such as beginner, intermediate, advanced, business. You can choose such courses as you would like to learn. A lot of exercises are prepared in each course on line. At present I use the Write and Improve every day. Now I choose intermediate course and try to improve my English writing skills. I think that one of the good points of the Write and Improve is good responsiveness. If you compose the English writing in the course and push the check button, you can find where it is not right. After amending where it is not right, you can submit again. This way, you can learn English writing skills through the Write and Improve. Furthermore, the Write and Imporve is on line lessons so that you can exercise whenever you are available. It is for free to exercise your English writing and speaking on line. If you want to improve your English skills, I recommend you should try it.    ",,C1,B1+,train,B1,212,long
essay_22c3e104f79e815e,1595821354,2020-07-27 04:42:34,prompt_79d7b6720d30aa96,user_a15b258cac354c33,user_a15b258cac354c33_prompt_79d7b6720d30aa96,5,False,True,Vietnamese,"Dear Ann, The 'Love and Desire' is my favourite film. It is an interesting romantic film. The film about a man who given up his arranged engagement to follow his heart beat. He was suffered from the revenge of his ex girlfriend and her family in order to protect his love and his company. If you watch this film you will like it as me. Bye Nguyen    ",,A2+,B1,train,B1,67,short
essay_56c6fbaf03fa9726,1587318758,2020-04-19 18:52:38,prompt_9975b4bd24cfacd8,user_5260e4c2cf47d881,user_5260e4c2cf47d881_prompt_9975b4bd24cfacd8,3,False,True,Thai,"You will not believe that one of the most important holiday I have ever had was the one when my sister got married and I was the bridesmaid.  It was in Thailand and believe or not, there is nothing in the world like this wedding.  For a start, the organisation was well-planned. Every detail was perfectly neat, such as the choice of flowers and meals. I must also mention that there was an orchestra for the reception. The music were chosen by the maid and it was full of emotion, particularly for my parents. Apart from that, the theme of the wedding was about Thailand, therefore every guests were wearing traditional uniform and it was proudful. Personally, I believe that my sister's wedding was one of the best holiday I have ever had because it was full of joy and tears. Unfortunately, I had to get back to Switzerland two days after but I would remember that party forever.",,B2+,B1+,train,B1,159,medium
essay_f7192ad298cfde67,1595328671,2020-07-21 11:51:11,prompt_29081c0eb3c823b4,user_b31307de7d13e824,user_b31307de7d13e824_prompt_29081c0eb3c823b4,5,False,True,Arabic,"Since the world has been created, the  animals were lived in the free areas as jungles or great forests. Our unsaistainble developpent lead us unhappily to an ecological disaster during these tree last decenies. We saw how pollution and immoral modernity were destructed massively all the ecosystemes around the world. the biodiversity was highly and negatively impacted. The animals were eventually among the unliky victims from those huge impacts and some people think doing good, imaginated this tragic and stupid invention : the zoo; The zoos could be the real space for protecting animals but actually they are a real prison for animal. In other words, the zoos changed highly the environment of animals. In my modest opinion, the zoos  reamain a bad solution for protecting animal wherease the real solution is to provide animals free space and giving them protection in order to leave them living as the ever creature of god live: free",,B1+,B1+,train,B1,155,medium
essay_5d44f22502f5c977,1667695005,2022-11-06 00:36:45,prompt_17eab621f9e89332,user_1732bcb3870dc7c4,user_1732bcb3870dc7c4_prompt_17eab621f9e89332,5,False,True,Hindi,"I use a computer daily for 10 - 12 hours. I watch all my college lectures on the computer and also do coding. I have improved my typing speed up to 50 word per minute and I always busy with a computer. Whenever I am free I use to do something with the computer. I love computer because it gives me happiness to do something. As we know that the computer has changed the world.Computer have also helped a lot in the medical field, now we can detect so many disease using ML and AI. So I think computer has revolutionized the whole world.",,A2+,B1+,dev,B1,104,medium
essay_d22e8fffec4b904a,1613475022,2021-02-16 11:30:22,prompt_23ed369963fb84a1,user_c1202d2312d75177,user_c1202d2312d75177_prompt_23ed369963fb84a1,16,False,True,Polish,"I like to sleep in complete darkness. Even the small amount of light can be disturbing. However, my curtains are not the best, and some light slips in through the gaps. To sort this out I have bought an eyemask.  I read a lot about circadian rhythm, and the way it affects our sleep. Since then, I'm not comfortable with light and noise during the night. To deal with noise I bought a pair of ear plugs. Unfortunately, they're not the most comfortable soultion.  I use to spend a lot of time on my smartphone just before bed time. After I learned about the circadian rhythm, I changed my habits completely.",,B1+,B1+,train,B1,111,medium
essay_b4fd6f0cf95147d3,1606564200,2020-11-28 11:50:00,prompt_179938ed5e90b50a,user_6a5d5e5450876707,user_6a5d5e5450876707_prompt_179938ed5e90b50a,2,False,True,Arabic,"school of the future in my opinion, the school in the future school will be so different. In the future you will be able to study from home also you will study What do you like? In my opinion, you will able to study anything for free. Because now if you would like a good education you need to pay a lot of money for that or if you would like a good school you need to travel for this. But of course, you can do this now but it is so expensive in my opinion I believe all of this will be a change for the good. The problem is now if you’re rich you will get a good education but if you a poor you will not take any education, only if you lucky you will take a scholarship  ","140,144,149,153,197,201",B1,B1+,train,B1,141,medium
essay_c8a88e67a121a327,1614309734,2021-02-26 03:22:14,prompt_58852905890136d4,user_b008f18607f92b6a,user_b008f18607f92b6a_prompt_58852905890136d4,7,False,True,Spanish,"Hello everyone.   Here, today, I am thinking about how can the ways be of travelling in future. Well, let's begin:   First, I should mention, I am 34 years old and all my life I have been in Colombia, an underdeveloped country, where all people only take the bus, car, plain, bike, motorcycle and boat. It is dependent on the place where they live and their economic situation.   For example, in Bogota, the capital city of Colombia, the most people take the bus and transmilenio (it is an articulated bus, it works with some special conditions, this permits a faster movement inside city, but it is more expensive).   Other people take cars and motorcycles, and finally there are people take bikes to go to work.   The government says, it is important make other way to travel inside city, the project is to make a line train that crosses all city. This proposal no have good reception in population, because we think is a bad project, where the government is going to spend a lot of money and the city will not be better, otherwise, this brings more social problems as unsafe, dirty, structural problems in the buildings, extra costs, etcetera.   In conclusion, I think about the future of travelling in my city is not going to have other ways of transport, because infrastructure is pretty deficient. ",,C1,B1+,train,B1,225,long
essay_7301d0454b51b7b9,1667073878,2022-10-29 21:04:38,prompt_6c812937c853f95a,user_3ceef154207577d9,user_3ceef154207577d9_prompt_6c812937c853f95a,3,False,True,Spanish,"Hi Alex,  How are you? I hope you are well. I'm writing to you because I want to apologise to you, because I can't go a to party the next Saturday afternoon. I going to have  work travel all weekend. However I want to meet you the next Friday morning. We go to drink a coffee. Do you think? I also think the next weekend we going to go Madrid the all weekend. We are going to can go shopping. I want to buy a coat. Then we are going to visit royal palace. At night we are going to go dance.   I would like to answer to me for booking the hotel and I can meet my friends. Would you like to come with me? Have fun at your party. Send me  pictures by my mobile. Give my love everybody. I hope we have a good time.  Give kisses to everybody for me.  I look forward to hearing from you.",,A2+,B1,train,B1,161,medium
essay_10999cd87300974d,1599067254,2020-09-02 18:20:54,prompt_5be9aa25d9f61171,user_1a1358a9ec37dc4f,user_1a1358a9ec37dc4f_prompt_5be9aa25d9f61171,3,False,True,Spanish,"Musical activities are important to develop imagination and creative skills. Music is an essential part of evryone's life because human beings since the bassinet  hear sound, music or melodies like lullabies or different kinds of sounds. That is the reason why people since kindergarten  begin to learn or to play an instrument, being the reason why schools add music in their schoolars framework.  Nowadays, a lot of schools have in their schedules music classes per week in order to give cultural knowledge, distraction and to develop abilities in students. Besides, students have the opportunity to discover if music is a hidden talent to develop and starting to practise and imporving musical abilities.  I personally consider that music is an essential part of people's life so all students should study music at least once in their life because this activity allows them to find a way for distraction or to find their passion.  To summarize, people who have had music classes in their academic life are able to manage stress better. They also have had the opportunity to discover something new and to take a break from stressful routines or simple the daily lifestyle.  ",,B1+,B2,train,B2,193,medium
essay_aaa9e90b48f4fdd9,1606584118,2020-11-28 17:21:58,prompt_9975b4bd24cfacd8,user_70ff6dcbe3a71254,user_70ff6dcbe3a71254_prompt_9975b4bd24cfacd8,6,False,True,Polish," Almost everyone reminds holiday season as a fun, making new friends and having the time of their lives. I agree with that associations wholeheartedly. When it comes to describe my best holiday ever, one specific trip pops up in my head.  It was two years ago. I was 18 and it was one of my first holiday with my friends. We went to a Bulgaria as a group of 6 friends. Three of them was my best buddies, and there was 2 girls yet. We were having a great time there. We had a hotel within walking distance to the sea, and there was that marvellous Vietnam restaurant on the way. We were making a stop there very often. But not only due to these entertainments it was my best holiday. During that trip, I got into a relationship with my old friend, Marta. That atmosphere of holiday carelessnes surely eased it.  That was my best trip, and holiday as well, ever. I found a love of my life, the one that I'm engage with now. We all have great memories from there.",,C1,B2,train,B2,183,medium
essay_294dedfa5f9db2aa,1612111132,2021-01-31 16:38:52,prompt_a48191f7b89e3523,user_b6d7f4e439d84b06,user_b6d7f4e439d84b06_prompt_a48191f7b89e3523,3,False,True,Italian,"In my opinion television is a good vehicle to educate but it is often bad for that aim. In fact, there are programs that could be very diseducative for young people which could give a bad vision of the world, such as gossip's programs or violent cartoons and series, but also with programs that include a bad language that could influence people that watch it. On the other hand, television has great features that could make it great for education, such as the news, films' channels, sport's channel and so on. But I think that nowadays people are looking to something different from television. For example, people prefer using digital sites and their features to search something that they don't know, learn new languages or discover new things every day. In conclusion, I think that television is a valid educational vehicle but it will be replaced by digitalization soon.",,B2,B2,train,B2,149,medium
essay_595c68f02914be6c,1604219423,2020-11-01 08:30:23,prompt_58b9f5f522c0a1ba,user_bd36300d800b23e1,user_bd36300d800b23e1_prompt_58b9f5f522c0a1ba,6,False,True,Hindi,"English is a global language that used for formal and informal communication. It becomes a worldwide standard for communication because of two reasons. First, it is easy to learn as compared to many languages such as Chinese, Japanese, Korean and Urdu. Second, the number of native English speakers in the total world population is about twenty percent.. Therefore we need to learn it and master it. There are a lot of quality courses available which are free of cost for English learners. One of them is the Oxford English speaking course. The main reason I am learning English is to become successful in my life. In my past, I had encountered the many discrimination because of a poor understanding of English. That gave me a reason to persuade learning English.  Now I have been improving my English because of my hard practice.",,B2+,B2,train,B2,142,medium
essay_d04ed51bb61b7d17,1594907565,2020-07-16 14:52:45,prompt_5be9aa25d9f61171,user_6ce7e27a05893051,user_6ce7e27a05893051_prompt_5be9aa25d9f61171,4,False,True,Italian,"When I was a child at school, during the music class, we learnt songs to sing at the end-year concert. It was fun, because our teachers taught us new words and ballets. When we grew up, sometimes we happened to sing musical songs, with solo parts: there were auditions to assign roles. Once I won and I became the protagonist: I was the happiest child in the world. When I was a girl, at the secondary school, during the music class we listened to classical music, as Mozart, Beethoven, Bach or Puccini, and we studied the history of the operas, as the Aida, the Traviata or the Turandot. We also studied how to play melodies with the flauto, as 'jingle balls' or 'alleluia alleluia'. Oltough studying music was funny when I was a child, when I grew up it became a complete waste of time. My teacher didn't take his job seriously and most of the time we wasted lessons talking about other things or studying other subjects. The hours used to study music can be useful when children are still little, because they need to have fun and to understand which are their interests. When children grow up, time should be spent in better ways. For example in schools could be introduced again the study of our Costituzione, whose articles should be known by every Italian citizen, or civic education, whose knowledge is really missing, because people have lost their good common sense. Moreover, it could be developed geography taughts, because people, especially the young ones, ignore what they are surraunded about. They don't know neither that Rome is our capital, nor that Pisa has the Leaning Tower, nor that Po, Arno and Tevere are our biggest rivers.",,C1+,B2+,train,B2,289,long
