phase,essay_id,true_label,word_count,length_category,model,prompt_name,strategy,variant,prediction,timestamp
2,essay_be645125371cce84,A2,75,short,phi-3-mini,minimal_v5,minimal,v5,".

#### So",2026-01-14T19:04:01.444617
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,minimal_v6,minimal,v6,B1,2026-01-14T19:04:02.028604
2,essay_be645125371cce84,A2,75,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:04:03.071656
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,rubric_v4,rubric,v4,B1,2026-01-14T19:04:03.663844
2,essay_be645125371cce84,A2,75,short,phi-3-mini,rubric_v4,rubric,v4,".

Solutio",2026-01-14T19:04:06.543441
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:04:07.269806
2,essay_be645125371cce84,A2,75,short,phi-3-mini,rubric_v5,rubric,v5,C1,2026-01-14T19:04:10.265554
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,rubric_v6,rubric,v6,A2,2026-01-14T19:04:11.149307
2,essay_be645125371cce84,A2,75,short,phi-3-mini,rubric_v6,rubric,v6,".

Solutio",2026-01-14T19:04:13.852448
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:04:15.245668
2,essay_be645125371cce84,A2,75,short,phi-3-mini,cot_v4,cot,v4,".

Essay A",2026-01-14T19:04:18.267413
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,cot_v5,cot,v5,A2,2026-01-14T19:04:18.705203
2,essay_be645125371cce84,A2,75,short,phi-3-mini,cot_v5,cot,v5,".

Solutio",2026-01-14T19:04:21.040350
2,essay_be645125371cce84,A2,75,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:04:21.689214
2,essay_be645125371cce84,A2,75,short,phi-3-mini,cot_v6,cot,v6,".

### Sol",2026-01-14T19:04:24.118626
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:04:24.743311
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,minimal_v4,minimal,v4,. No expla,2026-01-14T19:04:27.558794
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:04:28.144147
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,minimal_v5,minimal,v5,".

**Solut",2026-01-14T19:04:29.989324
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,minimal_v6,minimal,v6,A2,2026-01-14T19:04:30.719492
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:04:31.910863
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:04:32.392316
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,rubric_v4,rubric,v4,B1,2026-01-14T19:04:35.235502
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:04:35.800628
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,rubric_v5,rubric,v5,C1,2026-01-14T19:04:38.403157
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,rubric_v6,rubric,v6,A2,2026-01-14T19:04:38.852043
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,rubric_v6,rubric,v6,".

Solutio",2026-01-14T19:04:42.024941
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:04:42.580535
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,cot_v4,cot,v4,".

Essay A",2026-01-14T19:04:45.416505
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,cot_v5,cot,v5,A2,2026-01-14T19:04:46.037152
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,cot_v5,cot,v5,".

Solutio",2026-01-14T19:04:48.823351
2,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:04:49.494267
2,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,cot_v6,cot,v6,### Soluti,2026-01-14T19:04:51.640215
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,minimal_v4,minimal,v4,B1,2026-01-14T19:04:52.845636
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,minimal_v4,minimal,v4,B2,2026-01-14T19:04:55.718843
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,minimal_v5,minimal,v5,B1,2026-01-14T19:04:56.301783
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,minimal_v5,minimal,v5,".

Solutio",2026-01-14T19:04:58.507529
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,minimal_v6,minimal,v6,B1,2026-01-14T19:04:58.904427
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:04:59.932015
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,rubric_v4,rubric,v4,B1,2026-01-14T19:05:00.435981
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,rubric_v4,rubric,v4,".


### So",2026-01-14T19:05:03.053917
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:05:03.765299
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,rubric_v5,rubric,v5,C1,2026-01-14T19:05:05.274219
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,rubric_v6,rubric,v6,Based on t,2026-01-14T19:05:06.119198
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,rubric_v6,rubric,v6,".

Solutio",2026-01-14T19:05:09.555507
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:05:10.032905
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,cot_v4,cot,v4,".

#### So",2026-01-14T19:05:11.622028
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,cot_v5,cot,v5,B1,2026-01-14T19:05:12.286201
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,cot_v5,cot,v5,".



ANSWE",2026-01-14T19:05:15.615095
2,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:05:16.441102
2,essay_7317ee210bee1728,A2,36,short,phi-3-mini,cot_v6,cot,v6,".


### Re",2026-01-14T19:05:18.812738
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:05:19.299117
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,minimal_v4,minimal,v4,B2,2026-01-14T19:05:20.873452
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:05:21.348797
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,minimal_v5,minimal,v5,".


### So",2026-01-14T19:05:23.667469
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,minimal_v6,minimal,v6,B1,2026-01-14T19:05:24.281509
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:05:25.743320
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:05:26.225504
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,rubric_v4,rubric,v4,B2,2026-01-14T19:05:28.496101
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:05:29.483232
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,rubric_v5,rubric,v5,Essay Eval,2026-01-14T19:05:31.489292
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,rubric_v6,rubric,v6,Based on t,2026-01-14T19:05:32.219128
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,rubric_v6,rubric,v6,".

Essay:
",2026-01-14T19:05:34.899036
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:05:35.368792
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,cot_v4,cot,v4,B1,2026-01-14T19:05:37.204499
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,cot_v5,cot,v5,A2,2026-01-14T19:05:37.647208
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,cot_v5,cot,v5,".



### S",2026-01-14T19:05:40.605566
2,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:05:41.344631
2,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,cot_v6,cot,v6,### Respon,2026-01-14T19:05:43.179483
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:05:43.706376
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,minimal_v4,minimal,v4,B2,2026-01-14T19:05:46.774945
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:05:47.299110
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,minimal_v5,minimal,v5,".

#### So",2026-01-14T19:05:49.050401
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,minimal_v6,minimal,v6,A2,2026-01-14T19:05:49.655550
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:05:51.149230
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:05:51.915686
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,rubric_v4,rubric,v4,".

Solutio",2026-01-14T19:05:53.952292
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:05:54.591726
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,rubric_v5,rubric,v5,C1,2026-01-14T19:05:57.072620
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,rubric_v6,rubric,v6,A2,2026-01-14T19:05:57.714108
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,rubric_v6,rubric,v6,".

Solutio",2026-01-14T19:06:01.101248
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:06:01.663089
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,cot_v4,cot,v4,".

Essay A",2026-01-14T19:06:03.807462
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,cot_v5,cot,v5,A2,2026-01-14T19:06:04.408067
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,cot_v5,cot,v5,".


### So",2026-01-14T19:06:07.173793
2,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:06:07.799190
2,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,cot_v6,cot,v6,".


### Re",2026-01-14T19:06:09.788238
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:06:10.479704
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,minimal_v4,minimal,v4,B1,2026-01-14T19:06:11.830738
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:06:12.524456
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,minimal_v5,minimal,v5,".

**Solut",2026-01-14T19:06:13.939377
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,minimal_v6,minimal,v6,A2,2026-01-14T19:06:14.479657
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:06:15.812591
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:06:16.377399
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,rubric_v4,rubric,v4,".

Solutio",2026-01-14T19:06:18.481572
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:06:19.254335
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,rubric_v5,rubric,v5,C1,2026-01-14T19:06:21.540388
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,rubric_v6,rubric,v6,A2,2026-01-14T19:06:22.187452
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,rubric_v6,rubric,v6,".

Solutio",2026-01-14T19:06:24.356548
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:06:24.834515
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,cot_v4,cot,v4,B1,2026-01-14T19:06:26.876087
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,cot_v5,cot,v5,A2,2026-01-14T19:06:27.359506
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,cot_v5,cot,v5,".

Solutio",2026-01-14T19:06:29.292388
2,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:06:29.927506
2,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,cot_v6,cot,v6,".


### Re",2026-01-14T19:06:31.815747
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:06:32.376280
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,minimal_v4,minimal,v4,. No expla,2026-01-14T19:06:34.360207
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:06:34.915703
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,minimal_v5,minimal,v5,B1,2026-01-14T19:06:36.321130
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,minimal_v6,minimal,v6,B1,2026-01-14T19:06:36.971047
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:06:38.029603
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:06:38.498140
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,rubric_v4,rubric,v4,".

Solutio",2026-01-14T19:06:40.578216
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,rubric_v5,rubric,v5,A2,2026-01-14T19:06:41.380450
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,rubric_v5,rubric,v5,Essay eval,2026-01-14T19:06:42.881373
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,rubric_v6,rubric,v6,A2,2026-01-14T19:06:43.517843
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,rubric_v6,rubric,v6,".

Solutio",2026-01-14T19:06:46.071035
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:06:46.655151
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,cot_v4,cot,v4,".

Essay A",2026-01-14T19:06:49.427509
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,cot_v5,cot,v5,A2,2026-01-14T19:06:49.874305
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,cot_v5,cot,v5,".

Solutio",2026-01-14T19:06:52.136408
2,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:06:52.790669
2,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,cot_v6,cot,v6,".

### Sol",2026-01-14T19:06:54.381129
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,minimal_v4,minimal,v4,B1,2026-01-14T19:06:54.979568
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,minimal_v4,minimal,v4,B2,2026-01-14T19:06:55.970281
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:06:56.484396
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,minimal_v5,minimal,v5,B1,2026-01-14T19:06:58.269661
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,minimal_v6,minimal,v6,B1,2026-01-14T19:06:58.809018
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:07:00.352949
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:07:00.884129
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,rubric_v4,rubric,v4,. No expla,2026-01-14T19:07:03.104108
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:07:03.696341
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,rubric_v5,rubric,v5,C1,2026-01-14T19:07:05.699266
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,rubric_v6,rubric,v6,A2,2026-01-14T19:07:06.454231
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,rubric_v6,rubric,v6,".

Solutio",2026-01-14T19:07:08.469590
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:07:08.992628
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,cot_v4,cot,v4,".

REASONI",2026-01-14T19:07:11.489947
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,cot_v5,cot,v5,B1,2026-01-14T19:07:12.089082
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,cot_v5,cot,v5,".


### So",2026-01-14T19:07:15.029451
2,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:07:15.579668
2,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,cot_v6,cot,v6,".

## Your",2026-01-14T19:07:17.786053
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:07:18.227473
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,minimal_v4,minimal,v4,".

Solutio",2026-01-14T19:07:19.992159
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:07:20.652206
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,minimal_v5,minimal,v5,B1,2026-01-14T19:07:23.030761
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,minimal_v6,minimal,v6,B1,2026-01-14T19:07:23.556493
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:07:26.291997
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:07:26.839575
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,rubric_v4,rubric,v4,B2,2026-01-14T19:07:29.822722
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:07:30.661550
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,rubric_v5,rubric,v5,Essay CEFR,2026-01-14T19:07:32.210259
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,rubric_v6,rubric,v6,Based on t,2026-01-14T19:07:32.832553
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,rubric_v6,rubric,v6,".

Essay:
",2026-01-14T19:07:34.919557
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:07:35.341165
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,cot_v4,cot,v4,B1,2026-01-14T19:07:37.949368
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,cot_v5,cot,v5,A2,2026-01-14T19:07:39.644712
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,cot_v5,cot,v5,".


#### S",2026-01-14T19:07:42.668263
2,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:07:43.218547
2,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,cot_v6,cot,v6,".

## Your",2026-01-14T19:07:45.530568
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:07:46.086068
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,minimal_v4,minimal,v4,".

**Solut",2026-01-14T19:07:48.030051
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:07:48.745854
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,minimal_v5,minimal,v5,".


### So",2026-01-14T19:07:51.296517
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,minimal_v6,minimal,v6,A2,2026-01-14T19:07:52.187337
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,minimal_v6,minimal,v6,".


#### S",2026-01-14T19:07:53.335058
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:07:53.824509
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,rubric_v4,rubric,v4,".

Essay:
",2026-01-14T19:07:55.622736
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:07:56.274686
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,rubric_v5,rubric,v5,### Soluti,2026-01-14T19:07:58.509153
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,rubric_v6,rubric,v6,A2,2026-01-14T19:07:58.983504
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,rubric_v6,rubric,v6,".

Essay:
",2026-01-14T19:08:00.980389
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,cot_v4,cot,v4,A2,2026-01-14T19:08:01.466884
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,cot_v4,cot,v4,".

Essay's",2026-01-14T19:08:04.160613
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,cot_v5,cot,v5,B1,2026-01-14T19:08:04.599266
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,cot_v5,cot,v5,".


### So",2026-01-14T19:08:06.946100
2,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,cot_v6,cot,v6,A2,2026-01-14T19:08:07.615432
2,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,cot_v6,cot,v6,".


CRITIC",2026-01-14T19:08:09.925246
2,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,minimal_v4,minimal,v4,A2,2026-01-14T19:08:11.896101
2,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,minimal_v4,minimal,v4,. No expla,2026-01-14T19:08:15.349089
2,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,minimal_v5,minimal,v5,A2,2026-01-14T19:08:15.884410
2,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,minimal_v5,minimal,v5,B1,2026-01-14T19:08:17.011570
2,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,minimal_v6,minimal,v6,A2,2026-01-14T19:08:17.425667
2,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,minimal_v6,minimal,v6,".

**Solut",2026-01-14T19:08:19.227034
2,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,rubric_v4,rubric,v4,A2,2026-01-14T19:08:20.070941
2,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,rubric_v4,rubric,v4,B2,2026-01-14T19:08:21.950209
2,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,rubric_v5,rubric,v5,Based on t,2026-01-14T19:08:22.655162
2,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,rubric_v5,rubric,v5,"Essay:
Hi,",2026-01-14T19:08:24.812246
2,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,rubric_v6,rubric,v6,A2,2026-01-14T19:08:25.580526
2,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,rubric_v6,rubric,v6,".

Essay:
",2026-01-14T19:08:27.656620
