phase,essay_id,true_label,word_count,length_category,model,prompt_name,strategy,variant,prediction,timestamp
1,essay_be645125371cce84,A2,75,short,phi-3-mini,cot_v2,cot,v2,A2,2026-01-14T12:19:47.444294
1,essay_be645125371cce84,A2,75,short,gpt-4o-mini,cot_v3,cot,v3,B1,2026-01-14T12:19:48.158195
1,essay_be645125371cce84,A2,75,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:19:49.331451
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:19:49.933246
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:19:51.827277
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,minimal_v2,minimal,v2,A2,2026-01-14T12:19:52.460454
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:19:53.913982
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,minimal_v3,minimal,v3,A2,2026-01-14T12:19:54.506808
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,minimal_v3,minimal,v3,B2,2026-01-14T12:19:55.566609
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:19:56.042553
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,rubric_v1,rubric,v1,### Soluti,2026-01-14T12:19:57.884613
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,rubric_v2,rubric,v2,A2,2026-01-14T12:19:58.398608
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:20:00.021911
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:20:00.653478
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:20:03.160910
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:20:04.138640
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:20:05.471484
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:20:06.078696
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,cot_v2,cot,v2,B1,2026-01-14T12:20:07.847150
1,essay_8a6367b6ac1dca98,A2,53,short,gpt-4o-mini,cot_v3,cot,v3,A2,2026-01-14T12:20:08.530577
1,essay_8a6367b6ac1dca98,A2,53,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:20:09.607754
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:20:10.174652
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:20:12.031873
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,minimal_v2,minimal,v2,A2,2026-01-14T12:20:12.632631
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:20:14.049309
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,minimal_v3,minimal,v3,A2,2026-01-14T12:20:14.677838
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:20:15.656605
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:20:16.216847
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:20:18.553064
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,rubric_v2,rubric,v2,A2,2026-01-14T12:20:19.016127
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:20:20.804072
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:20:21.375961
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:20:24.403740
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:20:25.126692
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:20:26.719590
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:20:27.495842
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,cot_v2,cot,v2,B1,2026-01-14T12:20:28.722957
1,essay_7317ee210bee1728,A2,36,short,gpt-4o-mini,cot_v3,cot,v3,B1,2026-01-14T12:20:29.364500
1,essay_7317ee210bee1728,A2,36,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:20:30.506990
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:20:31.066892
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:20:32.332918
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:20:33.113266
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:20:34.409419
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:20:35.160909
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:20:36.404471
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:20:36.902844
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:20:39.905578
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:20:40.490760
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:20:42.202570
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:20:43.044984
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:20:45.550764
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,cot_v1,cot,v1,B1,2026-01-14T12:20:46.223787
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:20:47.598917
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:20:48.271446
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,cot_v2,cot,v2,B1,2026-01-14T12:20:49.668250
1,essay_6a498258871ef0ad,A2,73,short,gpt-4o-mini,cot_v3,cot,v3,B1,2026-01-14T12:20:50.318952
1,essay_6a498258871ef0ad,A2,73,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:20:51.611634
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:20:52.159809
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:20:54.683678
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,minimal_v2,minimal,v2,A2,2026-01-14T12:20:55.336989
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:20:56.906168
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,minimal_v3,minimal,v3,A2,2026-01-14T12:20:57.487524
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:20:58.603686
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:20:59.021536
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,rubric_v1,rubric,v1,### Soluti,2026-01-14T12:21:01.680613
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,rubric_v2,rubric,v2,A2,2026-01-14T12:21:02.195907
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:21:04.022075
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:21:04.610488
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:21:07.728076
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:21:08.444880
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:21:09.960456
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,cot_v2,cot,v2,A2,2026-01-14T12:21:10.594381
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,cot_v2,cot,v2,A2,2026-01-14T12:21:11.899589
1,essay_a0175bbb457ac6b9,A2,36,short,gpt-4o-mini,cot_v3,cot,v3,A2,2026-01-14T12:21:12.540876
1,essay_a0175bbb457ac6b9,A2,36,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:21:14.322507
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:21:14.897533
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:21:15.876179
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,minimal_v2,minimal,v2,A2,2026-01-14T12:21:16.429895
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:21:17.999222
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,minimal_v3,minimal,v3,A2,2026-01-14T12:21:18.548929
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:21:19.765971
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:21:20.221275
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:21:22.261327
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,rubric_v2,rubric,v2,A2,2026-01-14T12:21:22.779840
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:21:24.666729
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:21:25.292694
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:21:27.812516
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:21:28.517681
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:21:29.386753
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,cot_v2,cot,v2,A2,2026-01-14T12:21:30.188485
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,cot_v2,cot,v2,A2,2026-01-14T12:21:31.519606
1,essay_2236ddfebff0f8f1,A2,35,short,gpt-4o-mini,cot_v3,cot,v3,A2,2026-01-14T12:21:32.507998
1,essay_2236ddfebff0f8f1,A2,35,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:21:33.768519
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:21:34.298635
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:21:35.694296
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,minimal_v2,minimal,v2,A2,2026-01-14T12:21:36.196416
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:21:38.063170
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:21:38.497541
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:21:39.761253
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:21:40.219277
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,rubric_v1,rubric,v1,### Soluti,2026-01-14T12:21:42.862620
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,rubric_v2,rubric,v2,A2,2026-01-14T12:21:43.366027
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:21:45.060881
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:21:45.822572
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:21:48.228617
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:21:48.894938
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:21:50.528232
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,cot_v2,cot,v2,A2,2026-01-14T12:21:51.352331
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,cot_v2,cot,v2,A2,2026-01-14T12:21:53.194580
1,essay_4a141d5245b6f03d,A2,59,short,gpt-4o-mini,cot_v3,cot,v3,A2,2026-01-14T12:21:54.012412
1,essay_4a141d5245b6f03d,A2,59,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:21:55.382688
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:21:56.062318
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:21:56.876800
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,minimal_v2,minimal,v2,A2,2026-01-14T12:21:57.495891
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:21:58.295391
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:21:58.930369
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:22:00.436274
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:22:00.959069
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:22:02.811418
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:22:05.094299
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:22:09.920259
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:22:10.540367
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:22:12.425426
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:22:13.184313
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:22:14.064377
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:22:14.905405
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,cot_v2,cot,v2,A2,2026-01-14T12:22:16.435739
1,essay_c11c2e7481655f98,A2,48,short,gpt-4o-mini,cot_v3,cot,v3,B1,2026-01-14T12:22:17.085403
1,essay_c11c2e7481655f98,A2,48,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:22:18.096005
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:22:18.570486
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:22:20.241023
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,minimal_v2,minimal,v2,A2,2026-01-14T12:22:20.902282
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:22:21.946565
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:22:22.687166
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,minimal_v3,minimal,v3,A2,2026-01-14T12:22:24.181866
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:22:24.733179
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:22:27.504755
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:22:28.010333
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:22:30.364377
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:22:31.186827
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:22:33.362982
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:22:33.951125
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:22:35.703766
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:22:36.311104
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,cot_v2,cot,v2,A2,2026-01-14T12:22:39.256222
1,essay_e07038ad54696bc4,A2,94,short,gpt-4o-mini,cot_v3,cot,v3,B1,2026-01-14T12:22:39.892409
1,essay_e07038ad54696bc4,A2,94,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:22:41.356811
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:22:41.855130
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:22:43.089160
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:22:43.797180
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:22:45.069405
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:22:45.523138
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:22:46.395792
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:22:46.955075
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:22:48.686814
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,rubric_v2,rubric,v2,A2,2026-01-14T12:22:49.230602
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:22:51.741304
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:22:52.386909
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:22:53.642597
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:22:54.432377
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:22:55.352329
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:22:55.971168
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,cot_v2,cot,v2,B1,2026-01-14T12:22:57.006600
1,essay_1a0c060d20fe5dab,A2,52,short,gpt-4o-mini,cot_v3,cot,v3,B1,2026-01-14T12:22:57.606425
1,essay_1a0c060d20fe5dab,A2,52,short,phi-3-mini,cot_v3,cot,v3,A2,2026-01-14T12:22:59.116240
1,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,minimal_v1,minimal,v1,A2,2026-01-14T12:22:59.856212
1,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,minimal_v1,minimal,v1,B1,2026-01-14T12:23:01.937019
1,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,minimal_v2,minimal,v2,A2,2026-01-14T12:23:02.490830
1,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,minimal_v2,minimal,v2,B1,2026-01-14T12:23:04.509619
1,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:23:05.084554
1,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,minimal_v3,minimal,v3,B1,2026-01-14T12:23:06.030986
1,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,rubric_v1,rubric,v1,A2,2026-01-14T12:23:06.418628
1,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,rubric_v1,rubric,v1,B1,2026-01-14T12:23:08.511782
1,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,rubric_v2,rubric,v2,A2,2026-01-14T12:23:09.082155
1,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,rubric_v2,rubric,v2,B1,2026-01-14T12:23:11.257797
1,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,rubric_v3,rubric,v3,A2,2026-01-14T12:23:11.942230
1,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,rubric_v3,rubric,v3,B1,2026-01-14T12:23:13.278879
1,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,cot_v1,cot,v1,A2,2026-01-14T12:23:13.946301
1,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,cot_v1,cot,v1,A2,2026-01-14T12:23:15.303245
1,essay_bc8feabc6e020d43,A2,76,short,gpt-4o-mini,cot_v2,cot,v2,B1,2026-01-14T12:23:15.784770
1,essay_bc8feabc6e020d43,A2,76,short,phi-3-mini,cot_v2,cot,v2,A2,2026-01-14T12:23:17.433095
